Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level													Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Squire Sword	Sword	Blacksmith	---	---	1	50	15	00:00:15	3.33	135	9.00	2	10	1	13		Blacksmith	1	---	1	---	1		5	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		16	---	---	---	---		---	---		Blueprint: Shiv	7	Blueprint: Arming Sword	18	x1.5 Value Increase	32	Quality Chance x2	50	Quality Chance x3	80		-4 Iron Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Arming Sword	Sword	---	1	---	2	180	60	00:01:00	3.00	455	7.58	7	35	10	26		Blacksmith	2	---	1	---	1		9	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		32	---	---	---	---		---	---		Blueprint: Wood Axe	8	Blueprint: Gladius	20	x1.5 Value Increase	36	Quality Chance x2	55	Quality Chance x3	85		-5 Iron Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Gladius	Sword	---	3	---	3	670	140	00:02:20	4.79	1,200	8.57	18	90	16	42		Blacksmith	2	---	1	---	1		14	---	---	---	---	---	---	---	---	---		Iron Pine Cone	---	2	---	---	---		52	---	---	---	---		---	---		x1.25 Value Increase	6	Blueprint: Cutlass	16	-25% Craft Time Reduction	28	-3 Iron Spent	45	Quality Chance x3	70		-1 Iron Pine Cone Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		20	45	10	70
Arboreal Blade	Sword	Frozen Chest	---	---	3	2,050	200	00:03:20	10.25	1,700	8.50	26	130	21	68		Blacksmith	3	---	1	---	1		16	4	---	---	---	---	---	---	---	---		Elven Wood	---	2	---	---	---		85	---	---	---	---		---	---		x1.25 Value Increase	7	-3 Iron Spent	18	-25% Craft Time Reduction	32	Quality Chance x2	50	Quality Chance x3	80		-4 Wood Spent	10	+10% Multicraft Chance	10	-1 Elven Wood Spent	10		25	55	10	90
Zweihander	Sword	Oktoberfest Pack	---	75	3	1,250	270	00:04:30	4.63	2,350	8.70	35	175	23	84		Blacksmith	3	---	1	---	1		17	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		76	19	---	---	---		---	---		x1.25 Value Increase	7	-3 Iron Spent	18	-25% Craft Time Reduction	32	-2 Iron Spent	50	Quality Chance x3	80		-9 Iron Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		25	60	10	110
Cutlass	Sword	---	6	---	4	2,050	360	00:06:00	5.69	3,100	8.61	47	235	27	70		Blacksmith	5	---	1	---	1		21	---	---	---	---	---	---	---	---	---		Squire Sword	Normal	1	Silver Dust	---	2		88	---	---	---	---		---	---		-25% Craft Time Reduction	7	-4 Iron Spent	18	Blueprint: Espada	32	x1.25 Value Increase	50	Quality Chance x2	80		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-2 Silver Dust Spent	15		35	80	15	135
Espada	Sword	---	10	---	5	5,900	990	00:16:30	5.96	7,300	7.37	110	550	64	115		Blacksmith	9	---	1	---	1		41	---	---	---	8	---	---	---	---	---		Rustwyrm Scale	---	2	Iron Pine Cone	---	3		144	---	---	---	---		---	---		-25% Craft Time Reduction	8	-8 Iron Spent	20	Blueprint: Katana	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Steel Spent	20	+10% Multicraft Chance	20	-1 Rustwyrm Scale Spent	20		60	130	25	260
Hero's Sword	Sword	Hero Pack	---	120	5	11,000	1,290	00:21:30	8.53	10,000	7.75	150	750	119	189		Blacksmith	11	---	4	---	1		60	---	---	---	12	---	---	---	---	---		Cutlass	Normal	1	Deep Pearl	---	1		172	43	---	---	---		Light	---		-25% Craft Time Reduction	9	-12 Iron Spent	22	x1.25 Value Increase	40	-2 Steel Spent	60	Quality Chance x2	95		-1 Deep Pearl Spent	20	+10% Multicraft Chance	20	-2 Steel Spent	20		80	175	35	335
Chocolicious Blade	Sword	Super Sweet Mega Pack	---	120	5	15,000	1,590	00:26:30	9.43	10,000	6.29	150	750	105	163		Blacksmith	11	---	4	---	1		---	---	---	54	---	---	---	11	---	---		Corrupted Element	Normal	1	Living Root	---	4		172	---	5	---	---		---	---		-25% Craft Time Reduction	9	-11 Herbs Spent	22	-1 Corrupted Element Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-2 Oils Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		90	200	40	335
Katana	Sword	---	18	---	6	24,000	2,400	00:40:00	10.00	13,500	5.63	203	1,015	173	160		Blacksmith	13	Master	1	---	1		85	---	---	---	21	---	---	---	---	---		White Sand	---	4	Precious Gem	---	2		200	---	---	---	---		---	---		-25% Craft Time Reduction	9	-17 Iron Spent	22	Blueprint: Regal Blade	40	x1.25 Value Increase	60	Quality Chance x2	95		-4 Steel Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		115	255	50	420
Serrated Cinquedea	Sword	Autumn Mega Pack	---	140	6	38,500	3,600	01:00:00	10.69	17,500	4.86	263	1,315	296	276		Blacksmith	15	Master	1	---	5		113	---	---	---	29	---	---	---	---	---		White Sand	---	4	Iron Pine Cone	---	4		230	---	---	---	0.05		Earth	---		-25% Craft Time Reduction	10	-23 Iron Spent	24	x1.25 Value Increase	44	-6 Steel Spent	70	Quality Chance x2	110		-23 Iron Spent	25	-2 Iron Pine Cone Spent	25	+10% Multicraft Chance	25		145	320	65	515
Regal Blade	Sword	---	25	---	7	64,500	6,000	01:40:00	10.75	22,000	3.67	330	1,650	498	216		Blacksmith	17	Master	13	---	7		141	---	---	---	36	---	---	18	---	---		Star Metal	---	4	---	---	---		270	---	---	---	---		---	---		-25% Craft Time Reduction	10	-28 Iron Spent	24	Blueprint: Celesteel Blade	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Steel Spent	30	+10% Multicraft Chance	30	-1 Star Metal Spent	30		180	405	80	620
