Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level														Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Squire Sword	Sword	Blacksmith	---	---	1	50	15	00:00:15	3.33	135	9	2	10	1	13		Blacksmith	1	---	---	---	---		5	---	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		16	---	---	---	---		---	---		Blueprint: Shiv	7	Blueprint: Arming Sword	18	x1.5 Value Increase	32	Quality Chance x2	50	Quality Chance x3	80		-4 Iron Spent	5	+30% Multicraft Chance	5	Quality Chance x3	5		5	15	5	15
Arming Sword	Sword	---	1	---	2	180	60	00:01:00	3	455	7.58	7	35	10	26		Blacksmith	2	---	---	---	---		9	---	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		32	---	---	---	---		---	---		Blueprint: Wood Axe	8	Blueprint: Gladius	20	x1.5 Value Increase	36	Quality Chance x2	55	Quality Chance x3	85		-5 Iron Spent	5	+20% Multicraft Chance	5	Quality Chance x3	5		10	25	5	40
Gladius	Sword	---	3	---	3	670	140	00:02:20	4.79	1200	8.57	18	90	16	42		Blacksmith	2	---	---	---	---		14	---	---	---	---	---	---	---	---	---	---		Iron Pine Cone	---	2	---	---	---		52	---	---	---	---		---	---		x1.25 Value Increase	6	Blueprint: Cutlass	16	-25% Craft Time Reduction	28	-3 Iron Spent	45	Quality Chance x3	70		-1 Iron Pine Cone Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		20	45	10	70
Arboreal Blade	Sword	Frozen Chest	---	---	3	2050	200	00:03:20	10.25	1700	8.5	26	130	21	68		Blacksmith	3	---	---	---	---		16	4	---	---	---	---	---	---	---	---	---		Elven Wood	---	2	---	---	---		85	---	---	---	---		---	---		x1.25 Value Increase	7	-3 Iron Spent	18	-25% Craft Time Reduction	32	Quality Chance x2	50	Quality Chance x3	80		-4 Wood Spent	10	+10% Multicraft Chance	10	-1 Elven Wood Spent	10		25	55	10	90
Zweihander	Sword	Oktoberfest Pack	---	75	3	1250	270	00:04:30	4.63	2350	8.7	35	175	23	84		Blacksmith	3	---	---	---	---		17	---	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		76	19	---	---	---		---	---		x1.25 Value Increase	7	-3 Iron Spent	18	-25% Craft Time Reduction	32	-2 Iron Spent	50	Quality Chance x3	80		-9 Iron Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		25	60	10	110
Cutlass	Sword	---	6	---	4	2050	360	00:06:00	5.69	3100	8.61	47	235	27	70		Blacksmith	5	---	---	---	---		21	---	---	---	---	---	---	---	---	---	---		Squire Sword	Normal	1	Silver Dust	---	2		88	---	---	---	---		---	---		-25% Craft Time Reduction	7	-4 Iron Spent	18	Blueprint: Espada	32	x1.25 Value Increase	50	Quality Chance x2	80		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-2 Silver Dust Spent	15		35	80	15	135
Espada	Sword	---	10	---	5	5900	990	00:16:30	5.96	7300	7.37	110	550	64	115		Blacksmith	9	---	---	---	---		41	---	---	---	8	---	---	---	---	---	---		Rustwyrm Scale	---	2	Iron Pine Cone	---	3		144	---	---	---	---		---	---		-25% Craft Time Reduction	8	-8 Iron Spent	20	Blueprint: Katana	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Steel Spent	20	+10% Multicraft Chance	20	-1 Rustwyrm Scale Spent	20		60	130	25	260
Hero's Sword	Sword	Hero Pack	---	120	5	11000	1290	00:21:30	8.53	10000	7.75	150	750	119	189		Blacksmith	11	---	---	---	---		60	---	---	---	12	---	---	---	---	---	---		Cutlass	Normal	1	Deep Pearl	---	1		172	43	---	---	---		Light	---		-25% Craft Time Reduction	9	-12 Iron Spent	22	x1.25 Value Increase	40	-2 Steel Spent	60	Quality Chance x2	95		-1 Deep Pearl Spent	20	+10% Multicraft Chance	20	-2 Steel Spent	20		80	175	35	335
Chocolicious Blade	Sword	Super Sweet Mega Pack	---	120	5	15000	1590	00:26:30	9.43	10000	6.29	150	750	105	163		Blacksmith	11	---	---	---	---		---	---	---	54	---	---	---	11	---	---	---		Corrupted Element	Normal	1	Living Root	---	4		172	---	5	---	---		---	---		-25% Craft Time Reduction	9	-11 Herbs Spent	22	-1 Corrupted Element Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-2 Oils Spent	20	+10% Multicraft Chance	20	-1 Living Root Spent	20		90	200	40	335
Katana	Sword	---	18	---	6	24000	2400	00:40:00	10	13500	5.63	203	1015	173	160		Blacksmith	13	Master	1	---	---		85	---	---	---	21	---	---	---	---	---	---		White Sand	---	4	Precious Gem	---	2		200	---	---	---	---		---	---		-25% Craft Time Reduction	9	-17 Iron Spent	22	Blueprint: Regal Blade	40	x1.25 Value Increase	60	Quality Chance x2	95		-4 Steel Spent	25	+10% Multicraft Chance	25	-1 White Sand Spent	25		115	255	50	420
Serrated Cinquedea	Sword	Autumn Mega Pack	---	140	6	38500	3600	01:00:00	10.69	17500	4.86	263	1315	296	276		Blacksmith	15	Master	1	---	---		113	---	---	---	29	---	---	---	---	---	---		White Sand	---	4	Iron Pine Cone	---	4		230	---	---	---	0.05		Earth	---		-25% Craft Time Reduction	10	-23 Iron Spent	24	x1.25 Value Increase	44	-6 Steel Spent	70	Quality Chance x2	110		-23 Iron Spent	25	-2 Iron Pine Cone Spent	25	+10% Multicraft Chance	25		145	320	65	515
Regal Blade	Sword	---	25	---	7	64500	6000	01:40:00	10.75	22000	3.67	330	1650	498	216		Blacksmith	17	Master	13	---	---		141	---	---	---	36	---	---	18	---	---	---		Star Metal	---	4	---	---	---		270	---	---	---	---		---	---		-25% Craft Time Reduction	10	-28 Iron Spent	24	Blueprint: Celesteel Blade	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Steel Spent	30	+10% Multicraft Chance	30	-1 Star Metal Spent	30		180	405	80	620
Chronos Runeblade	Sword	Chronos Ruins Mega Pack	---	160	7	100000	7200	02:00:00	13.89	24500	3.4	368	1840	502	308		Blacksmith	18	Master	14	---	---		155	---	---	---	39	---	---	---	---	---	---		Ancient Marble	---	2	Star Metal	---	2		280	70	---	---	---		Earth	---		-25% Craft Time Reduction	10	-23 Iron Spent	24	x1.25 Value Increase	44	-23 Iron Spent	70	Quality Chance x2	110		-8 Steel Spent	30	+10% Multicraft Chance	30	-1 Star Metal Spent	30		225	500	100	675
Celesteel Blade	Sword	---	35	---	8	195000	13200	03:40:00	14.77	32500	2.46	488	2440	753	272		Blacksmith	21	Master	17	---	---		199	---	---	---	51	---	---	---	---	5	---		Chronos Crystal	---	5	Silk Scarab	---	2		340	---	---	---	---		Light	---		-25% Craft Time Reduction	11	-40 Iron Spent	28	Blueprint: Mythril Edge	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-2 Silk Scarab Spent	35		310	690	140	860
Damocles	Sword	Timeworn Chest	---	---	8	230000	16200	04:30:00	14.2	35500	2.19	533	2665	981	326		Blacksmith	21	Master	17	---	---		214	---	---	---	57	---	---	---	6	---	---		Overgrown Vine	---	4	Moon Crystal	---	7		407	---	---	---	---		---	---		-25% Craft Time Reduction	11	-43 Iron Spent	28	x1.25 Value Increase	50	-11 Steel Spent	80	Quality Chance x2	125		-2 Ether Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		330	735	145	925
Luxurious Macuahuitl	Sword	Luxurious Chest	---	---	8	365000	19200	05:20:00	19.01	39000	2.03	585	2925	1146	296		Blacksmith	22	Master	18	---	---		229	---	---	---	62	---	---	---	---	8	---		Golden Artifact	---	3	Chronos Crystal	---	4		370	---	---	---	---		Gold	Xolotl Spirit		-25% Craft Time Reduction	11	-46 Iron Spent	28	x1.25 Value Increase	50	-12 Steel Spent	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		315	700	140	995
Crystalline Rapier	Sword	---	---	180	8	225000	19200	05:20:00	11.72	39000	2.03	585	2925	1099	356		Blacksmith	22	Master	18	---	---		221	---	---	---	58	---	---	---	---	8	---		Chronos Crystal	---	4	Star Metal	---	4		370	---	12	---	---		Light	---		-25% Craft Time Reduction	11	-44 Iron Spent	28	-12 Steel Spent	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	-1 Chronos Crystal Spent	35	+10% Multicraft Chance	35		335	740	150	995
Mythril Edge	Sword	---	45	---	9	300000	20400	05:40:00	14.71	45500	2.23	683	3415	1375	328		Blacksmith	23	Master	19	---	---		259	---	---	---	72	---	---	---	---	12	---		Spooky Ectoplasm	---	4	Star Metal	---	5		410	---	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Iron Spent	26	Blueprint: Oversized Cleaver	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	40	-3 Star Metal Spent	40	+10% Multicraft Chance	40		385	850	170	1140
Seafarer Blade	Sword	Champion Clash Superior Pack	---	200	9	420000	24600	06:50:00	17.07	49000	1.99	735	3675	1777	409		Blacksmith	24	Master	20	---	---		275	---	---	---	77	---	---	---	---	14	---		Ghastly Pennant	---	4	Silver Dust	---	3		430	---	13	---	---		Water	---		-25% Craft Time Reduction	10	-55 Iron Spent	26	x1.25 Value Increase	46	-15 Steel Spent	70	Quality Chance x2	110		-4 Jewels Spent	40	-3 Silver Dust Spent	40	+10% Multicraft Chance	40		450	1000	200	1220
Gentleman Blade	Sword	Victorian Mega Pack	---	200	9	395000	24600	06:50:00	16.06	49000	1.99	735	3675	1777	474		Blacksmith	24	Master	20	---	---		275	---	---	---	77	---	---	---	14	---	---		Thread of Fate	---	3	Overgrown Vine	---	3		430	108	---	---	---		---	---		-30% Craft Time Reduction	10	-83 Iron Spent	26	x1.25 Value Increase	46	-19 Steel Spent	70	Quality Chance x2	110		-4 Ether Spent	40	-1 Overgrown Vine Spent	40	+10% Multicraft Chance	40		435	970	195	1220
Oversized Cleaver	Sword	---	60	---	10	605000	29400	08:10:00	20.58	53000	1.8	795	3975	1835	360		Blacksmith	25	Master	21	Jeweler	18		290	---	---	---	82	---	---	---	---	17	---		Crystal Lullaby	---	5	Star Metal	---	6		450	---	---	---	---		---	---		-20% Craft Time Reduction	10	-58 Iron Spent	26	Blueprint: Vorpal Sword	46	x1.25 Value Increase	70	Quality Chance x2	110		-5 Jewels Spent	45	-3 Star Metal Spent	45	+10% Multicraft Chance	45		805	1790	360	2335
Caladbolg	Sword	Sunken Chest	---	---	10	665000	34800	09:40:00	19.11	56500	1.62	848	4240	2352	434		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	---	19	---		Deep Coral	---	5	Moon Crystal	---	6		542	---	---	---	---		---	---		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-2 Deep Coral Spent	65	Quality Chance x2	100		-6 Jewels Spent	45	-6 Moon Crystal Spent	45	+10% Multicraft Chance	45		820	1825	365	2480
Dragon Dao	Sword	Dragon Siblings Superior Offer	---	250	10	650000	34800	09:40:00	18.68	56500	1.62	848	4240	2352	518		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	19	---	---		Precious Shell	---	4	Overgrown Vine	---	3		470	118	---	---	---		---	---		-30% Craft Time Reduction	9	-92 Iron Spent	22	x1.25 Value Increase	40	-22 Steel Spent	65	Quality Chance x2	100		-6 Ether Spent	45	-1 Overgrown Vine Spent	45	+10% Multicraft Chance	45		835	1850	370	2480
Tiger Blade	Sword	Content Pass: Year of the Tiger	---	250	10	680000	42000	11:40:00	16.19	61000	1.45	915	4575	2705	459		Blacksmith	26	Master	22	Jeweler	19		322	---	---	---	93	---	---	---	---	22	---		Deep Coral	---	4	Precious Shell	---	3		480	---	15	---	---		---	Tiger Power		-30% Craft Time Reduction	9	-97 Iron Spent	22	x1.25 Value Increase	40	-1 Precious Shell Spent	65	Quality Chance x2	100		-7 Jewels Spent	45	-28 Steel Spent	45	+10% Multicraft Chance	45		850	1890	380	2635
Vorpal Sword	Sword	---	85	---	11	1400000	50400	14:00:00	27.78	97500	1.93	1463	7315	2736	464		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	---	23	---		Sigil of Might	---	1	Boreal Gale	---	4		580	---	---	---	---		---	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	Blueprint: Excalibur	28	x1.25 Value Increase	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Boreal Gale Spent	60	+10% Multicraft Chance	60		1045	2320	465	2790
Elegant Rapier	Sword	Victorian Spring Mega Pack	---	300	11	1500000	50400	14:00:00	29.76	97500	1.93	1463	7315	3061	554		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	---	23	---		Sigil of Grace	---	1	Zirconia Eggshell	---	3		580	---	18	---	---		---	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Zirconia Eggshell Spent	60	+10% Multicraft Chance	60		1080	2395	480	2790
